Language,ID
"English,Dutch,Italian",1
"English,Esperanto",1
"English,French,Arabic",1
"English,French,Cantonese,Gujarati,Yiddish",1
"English,French,Danish",1
"English,French,Finnish",1
"English,French,German,Arabic",1
"English,French,German,Russian",1
"English,French,German,Serbian",1
"English,French,Greek",1
"English,French,Hungarian",1
"English,Maori",1
"English,Pushto",1
"English,Middle English,Indonesian",1
"Mandarin,English,Min Nan",1
"Italian,English,Spanish",1
"Italian,German",1
"Italian,German,English",1
"Italian,Hungarian,Latin",1
"Italian,Japanese,English",1
"Italian,Sinhalese,English",1
"Italian,Spanish",1
"Italian,Spanish,German,English",1
"Italian,Swiss German,Danish",1
"Japanese,English,French",1
"Korean,English,French",1
"Korean,French",1
"Korean,Japanese",1
"Korean,Mandarin,Japanese",1
"Kurdish,Arabic,English",1
"Mandarin,Arabic,English",1
"Mandarin,Bengali,Hindi,Spanish,English",1
"Mandarin,Cantonese,English",1
"Mandarin,Cantonese,Japanese",1
"Mandarin,English",1
"Mandarin,English,Japanese,Italian",1
"Italian,English,French",1
"Indonesian,English,Mandarin,French",1
"Indonesian,English",1
"Hindi,English,Chinese,Spanish",1
"German,Swiss German,Afrikaans",1
"Greek,English",1
"Hawaiian,English",1
"Hebrew,Arabic,English",1
"Hebrew,English",1
"Hebrew,English,Arabic,Russian",1
"Hindi,Awadhi",1
"Hindi,Bhojpuri",1
"Hindi,English,Awadhi,Urdu",1
"Hindi,English,French,Japanese,Dutch",1
"Icelandic,English",1
"Hindi,English,Urdu,Persian,Kurdish",1
"Hindi,Gujarati,English",1
"Hindi,Indonesian,Italian",1
"Hindi,Japanese,Spanish,English",1
"Hindi,Tamil,English,Marathi",1
"Hindi,Telugu",1
"Hindi,Urdu,English,Telugu",1
"Hungarian,German,English,Yiddish,Hebrew,Polish",1
Icelandic,1
"Mandarin,English,Japanese,Shanghainese",1
"Mandarin,English,Mongolian",1
"English,Min Nan,Mandarin",1
"Mandarin,English,Russian,French,Japanese,Korean,Indonesian,Hindi",1
"Spanish,French,Dutch,Mapudungun",1
"Spanish,French,English,Italian,German",1
"Spanish,German",1
"Spanish,Guarani,Korean",1
"Spanish,Hindi,English,Mandarin,French",1
"Spanish,Italian",1
"Spanish,Latin,Arabic,English",1
"Spanish,Polish",1
"Spanish,Portuguese",1
"Swedish,English",1
"Swedish,Italian,English,French",1
"Swedish,Persian",1
"Swedish,Spanish",1
"Swedish,Spanish,English",1
"Tagalog,Filipino",1
"Tamil,Telugu,Hindi,English,Malayalam,Mandarin,French",1
"Telugu,Tamil,Hindi",1
"Thai,English",1
Turkish,1
"Urdu,Pushto",1
"Vietnamese,English,Japanese",1
"Spanish,French",1
"Spanish,English,Portuguese",1
"Spanish,English,German,Basque",1
Persian,1
"Mandarin,French",1
"Mandarin,Hakka",1
"Mandarin,Min Nan",1
Maya,1
Nepali,1
"None,French",1
"Norwegian,English,French",1
"Norwegian,English,French,Swedish",1
"Norwegian,English,German",1
"Persian,English",1
"Spanish,English,French,German,Italian",1
Polish,1
"Polish,French,Croatian,German,Russian,Serbian,Italian",1
"Portuguese,English,French,Spanish",1
"Portuguese,Greek",1
Romanian,1
"Russian,Italian",1
"Russian,Italian,English",1
"Spanish,English,Catalan",1
"Spanish,English,French",1
"German,Spanish,Italian,English",1
"German,Greek,English,Turkish",1
"German,French",1
"French,Yiddish,English,Spanish,Hebrew,Italian",1
"English,Russian,Hungarian,French,Turkish",1
"English,Russian,Italian",1
"English,Russian,Korean",1
"English,Russian,Persian",1
"English,Russian,Polish",1
"English,Russian,Punjabi,Arabic",1
"English,Russian,Romanian,Slovenian",1
"English,Russian,Serbian,Bosnian,Croatian,Polish",1
"English,Russian,Sign Languages",1
"English,Russian,Spanish,Mandarin,French",1
"English,Saami",1
"English,Scots,Latin",1
"English,Serbian,French",1
"English,Serbo-Croatian",1
"English,Sign Languages",1
"English,Sinhalese,Hindi",1
"English,Sioux",1
"English,Sioux,Cantonese",1
"English,Sioux,French",1
"English,Spanish,Arabic",1
"English,Spanish,Arabic,Latin",1
"English,Russian,Hindi",1
"English,Russian,German,French,Finnish,Italian",1
"English,Russian,French,Lithuanian,German",1
"English,Polish,German",1
"English,Navajo,Japanese",1
"English,North American Indian",1
"English,Norwegian,French",1
"English,Nyanja,Afrikaans,Zulu,Xhosa,Southern Sotho",1
"English,Persian",1
"English,Persian,Arabic",1
"English,Persian,French",1
"English,Persian,Spanish",1
"English,Polish,Arabic",1
"English,Polynesian,Spanish",1
"English,Russian,Czech",1
"English,Portuguese,French",1
"English,Portuguese,French,Japanese",1
"English,Portuguese,Japanese",1
"English,Portuguese,Spanish,Italian",1
"English,Portuguese,Tupi,Spanish,German",1
"English,Punjabi,Hindi,German",1
"Wolof,French,English,Arabic",1
"English,Romanian,Russian,Serbian,Ukrainian",1
"English,Russian,Chinese",1
"English,Spanish,Arabic,Polish,Turkish,Russian,Italian,Persian",1
"English,Spanish,Chinese,Latin",1
"English,Spanish,Chinese,Russian,Portuguese",1
"French,English,Spanish,Arabic",1
"Filipino,English",1
"Filipino,Tagalog,English,Spanish",1
"Finnish,English",1
"French,English,Arabic",1
"French,English,Cantonese",1
"French,English,German,Russian",1
"French,English,Italian",1
"French,English,Italian,German,Yiddish",1
"French,English,Latin",1
"French,Flemish,English",1
"English,Yiddish,German",1
"French,German",1
"French,German,English",1
"French,Hebrew",1
"French,Italian",1
"French,Italian,English",1
"French,Italian,English,Arabic",1
"French,Italian,Hungarian",1
"French,Russian",1
"French,Spanish",1
"English,Yiddish,Hebrew",1
"English,Xhosa,Zulu,French,Spanish",1
"English,Spanish,French,Romanian",1
"English,Spanish,Swedish",1
"English,Spanish,French,Yoruba",1
"English,Spanish,German,Russian",1
"English,Spanish,Icelandic,Maltese,Russian",1
"English,Spanish,Indonesian",1
"English,Spanish,Italian,Latin,Portuguese,French,German",1
"English,Spanish,Latin",1
"English,Spanish,Norwegian,French,Korean,Greek,Vietnamese",1
"English,Spanish,Papiamento,Russian,Latin",1
"English,Spanish,Russian,Italian",1
"English,Spanish,Tibetan",1
"English,Welsh",1
"English,Swahili,Nama,Xhosa,Korean",1
"English,Swedish,French,German",1
"English,Swedish,French,Spanish,German",1
"English,Tibetan,Hindi,Nepali",1
"English,Turkish,Greek,Mandarin,French",1
"English,Turkish,Greek,Russian",1
"English,Turkmen,Cantonese,Italian,Spanish,Ukrainian,French",1
"English,Ukrainian,German,French",1
"English,Ukrainian,Russian",1
Afrikaans,1
